,Pts,season,round,team,Form
285,24,2022,Matchweek 16,Brighton,6
286,22,2022,Matchweek 16,Liverpool,3
287,22,2022,Matchweek 16,Fulham,4
288,21,2022,Matchweek 16,Chelsea,1
289,20,2022,Matchweek 16,Crystal Palace,6
290,19,2022,Matchweek 16,Brentford,2
291,16,2022,Matchweek 16,Leeds,6
292,15,2022,Matchweek 16,Aston Villa,6
293,14,2022,Matchweek 16,Leicester,6
294,14,2022,Matchweek 16,West Ham,3
295,14,2022,Matchweek 16,Everton,4
296,13,2022,Matchweek 16,Bournemouth,0
297,12,2022,Matchweek 16,Southampton,1
298,10,2022,Matchweek 16,Wolves,1
299,10,2022,Matchweek 16,Nottm Forest,4
300,40,2022,Matchweek 17,Arsenal,9
301,38,2022,Matchweek 17,Man City,6
302,30,2022,Matchweek 17,Newcastle,9
303,29,2022,Matchweek 17,Tottenham,6
304,28,2022,Matchweek 17,Man Utd,6
305,25,2022,Matchweek 17,Liverpool,6
306,24,2022,Matchweek 17,Brighton,6
307,22,2022,Matchweek 17,Brentford,5
308,22,2022,Matchweek 17,Fulham,1
309,21,2022,Matchweek 17,Chelsea,0
310,20,2022,Matchweek 17,Crystal Palace,6
311,18,2022,Matchweek 17,Aston Villa,6
312,17,2022,Matchweek 17,Leicester,6
313,16,2022,Matchweek 17,Leeds,6
314,16,2022,Matchweek 17,Bournemouth,3
315,14,2022,Matchweek 17,West Ham,0
316,14,2022,Matchweek 17,Everton,1
317,13,2022,Matchweek 17,Nottm Forest,4
318,12,2022,Matchweek 17,Southampton,0
319,10,2022,Matchweek 17,Wolves,1
320,43,2022,Matchweek 18,Arsenal,9
321,41,2022,Matchweek 18,Man City,6
322,33,2022,Matchweek 18,Newcastle,9
323,31,2022,Matchweek 18,Man Utd,6
324,30,2022,Matchweek 18,Tottenham,4
325,28,2022,Matchweek 18,Liverpool,9
326,27,2022,Matchweek 18,Brighton,6
327,25,2022,Matchweek 18,Fulham,3
328,24,2022,Matchweek 18,Chelsea,3
329,23,2022,Matchweek 18,Brentford,5
330,20,2022,Matchweek 18,Crystal Palace,3
331,18,2022,Matchweek 18,Aston Villa,6
332,17,2022,Matchweek 18,Leicester,6
333,16,2022,Matchweek 18,Leeds,3
334,16,2022,Matchweek 18,Bournemouth,3
335,14,2022,Matchweek 18,West Ham,0
336,14,2022,Matchweek 18,Everton,0
337,13,2022,Matchweek 18,Wolves,3
338,13,2022,Matchweek 18,Nottm Forest,4
339,12,2022,Matchweek 18,Southampton,0
340,46,2022,Matchweek 19,Arsenal,9
341,42,2022,Matchweek 19,Man City,4
342,34,2022,Matchweek 19,Newcastle,7
343,34,2022,Matchweek 19,Man Utd,9
344,31,2022,Matchweek 19,Liverpool,9
345,30,2022,Matchweek 19,Tottenham,4
346,28,2022,Matchweek 19,Fulham,6
347,27,2022,Matchweek 19,Brighton,3
348,26,2022,Matchweek 19,Brentford,7
349,25,2022,Matchweek 19,Chelsea,4
350,23,2022,Matchweek 19,Crystal Palace,3
351,21,2022,Matchweek 19,Aston Villa,6
352,17,2022,Matchweek 19,Leicester,3
353,17,2022,Matchweek 19,Leeds,1
354,16,2022,Matchweek 19,Bournemouth,3
355,15,2022,Matchweek 19,Everton,1
356,14,2022,Matchweek 19,West Ham,0
357,14,2022,Matchweek 19,Nottm Forest,4
358,13,2022,Matchweek 19,Wolves,3
359,12,2022,Matchweek 19,Southampton,0
360,47,2022,Matchweek 20,Arsenal,7
361,45,2022,Matchweek 20,Man City,7
362,37,2022,Matchweek 20,Man Utd,9
363,35,2022,Matchweek 20,Newcastle,5
364,33,2022,Matchweek 20,Tottenham,4
365,31,2022,Matchweek 20,Liverpool,6
366,31,2022,Matchweek 20,Fulham,9
367,30,2022,Matchweek 20,Brighton,6
368,29,2022,Matchweek 20,Brentford,7
369,25,2022,Matchweek 20,Chelsea,4
370,23,2022,Matchweek 20,Crystal Palace,3
371,22,2022,Matchweek 20,Aston Villa,4
372,18,2022,Matchweek 20,Leeds,2
373,17,2022,Matchweek 20,Leicester,0
374,17,2022,Matchweek 20,Nottm Forest,4
375,16,2022,Matchweek 20,Bournemouth,0
376,15,2022,Matchweek 20,West Ham,1
377,15,2022,Matchweek 20,Everton,1
378,14,2022,Matchweek 20,Wolves,4
379,12,2022,Matchweek 20,Southampton,0
380,50,2022,Matchweek 21,Arsenal,7
381,45,2022,Matchweek 21,Man City,4
382,40,2022,Matchweek 21,Man Utd,9
383,38,2022,Matchweek 21,Newcastle,5
384,33,2022,Matchweek 21,Brighton,6
385,33,2022,Matchweek 21,Tottenham,3
386,32,2022,Matchweek 21,Brentford,9
387,31,2022,Matchweek 21,Liverpool,3
388,31,2022,Matchweek 21,Fulham,6
389,28,2022,Matchweek 21,Chelsea,4
390,25,2022,Matchweek 21,Aston Villa,7
391,23,2022,Matchweek 21,Crystal Palace,3
392,20,2022,Matchweek 21,Nottm Forest,7
393,18,2022,Matchweek 21,Leeds,2
394,17,2022,Matchweek 21,Leicester,0
395,17,2022,Matchweek 21,Wolves,4
396,16,2022,Matchweek 21,Bournemouth,0
397,15,2022,Matchweek 21,West Ham,1
398,15,2022,Matchweek 21,Everton,1
399,15,2022,Matchweek 21,Southampton,3
400,53,2022,Matchweek 22,Arsenal,7
401,48,2022,Matchweek 22,Man City,6
402,40,2022,Matchweek 22,Man Utd,6
403,39,2022,Matchweek 22,Newcastle,5
404,36,2022,Matchweek 22,Tottenham,6
405,34,2022,Matchweek 22,Brighton,7
406,33,2022,Matchweek 22,Brentford,7
407,32,2022,Matchweek 22,Liverpool,1
408,31,2022,Matchweek 22,Fulham,3
409,29,2022,Matchweek 22,Chelsea,4
410,28,2022,Matchweek 22,Aston Villa,7
411,24,2022,Matchweek 22,Crystal Palace,1
412,21,2022,Matchweek 22,Nottm Forest,7
413,19,2022,Matchweek 22,Leeds,2
414,18,2022,Matchweek 22,Leicester,1
415,18,2022,Matchweek 22,West Ham,4
416,17,2022,Matchweek 22,Wolves,4
417,17,2022,Matchweek 22,Bournemouth,1
418,15,2022,Matchweek 22,Everton,0
419,15,2022,Matchweek 22,Southampton,3
420,53,2022,Matchweek 23,Arsenal,6
421,48,2022,Matchweek 23,Man City,3
422,43,2022,Matchweek 23,Man Utd,6
423,40,2022,Matchweek 23,Newcastle,5
424,39,2022,Matchweek 23,Tottenham,6
425,37,2022,Matchweek 23,Brighton,7
426,36,2022,Matchweek 23,Brentford,7
427,32,2022,Matchweek 23,Liverpool,1
428,32,2022,Matchweek 23,Fulham,1
429,30,2022,Matchweek 23,Chelsea,5
430,28,2022,Matchweek 23,Aston Villa,6
431,24,2022,Matchweek 23,Crystal Palace,1
432,24,2022,Matchweek 23,Nottm Forest,7
433,21,2022,Matchweek 23,Leicester,4
434,20,2022,Matchweek 23,Wolves,6
435,19,2022,Matchweek 23,Leeds,1
436,19,2022,Matchweek 23,West Ham,4
437,18,2022,Matchweek 23,Everton,3
438,17,2022,Matchweek 23,Bournemouth,1
439,15,2022,Matchweek 23,Southampton,3
440,54,2022,Matchweek 24,Arsenal,4
441,51,2022,Matchweek 24,Man City,6
442,46,2022,Matchweek 24,Man Utd,6
443,41,2022,Matchweek 24,Newcastle,3
444,39,2022,Matchweek 24,Tottenham,6
445,38,2022,Matchweek 24,Brighton,5
446,37,2022,Matchweek 24,Brentford,5
447,35,2022,Matchweek 24,Liverpool,4
448,35,2022,Matchweek 24,Fulham,4
